phi,O2_molecules,CPT_frac,N2_frac,O2_frac,H2(2),O2(6),N2,CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),CPT(563),C6H6(970),OH(4),H2O(5),HO2(8),C5H8(522),C5H8O(825)rs
3.0,0.12233,0.005,0.9825,0.0125,873.6013260163371,7869.143848602296,977741.7749923073,2929.0429739593787,319.2764869291742,343.6504325520962,45.83089052406714,1757.751288453063,102.3069734224543,382.33383733647406,26.217652425115602,44.24034074677336,53.74983130898939,2039.561892215251,2.780413026437401,0.001275191587968913,3750.578368338566,2.2499021006387516,539.7566277170786,25.147824495548154
2.0,0.1835,0.005,0.97625,0.01875,1075.6987880272084,11309.931526638366,969621.4615934712,4933.38699838657,690.736212738611,445.22511885608105,55.08711166447318,1979.1284654464055,79.99229619952749,342.0620940865431,23.960593438461903,30.263546972163617,48.91519559052145,1361.5908702554927,3.054350971985263,0.002457779293749716,5865.942804158078,3.9776305257546594,524.3234623359075,27.146955817938874
1.75,0.20962,0.005,0.973571429,0.021428571,1071.9561392902726,13324.27096141993,966680.0650189741,5293.893642020914,812.7082408759898,442.2328684746019,53.05980554438164,1958.1810340146542,69.38077094168733,320.8666428669301,22.794345431808598,25.281856267909674,49.68167024812486,1248.1168699303337,2.8891658835675282,0.0027904618453511595,6375.954099437092,4.512261946943369,531.6666126429011,28.201399004481065
1.5,0.24456,0.005,0.97,0.025,1029.336795631894,16338.695991914117,963019.8147886873,5490.94622598707,935.5381208599736,423.7537747893899,48.88866461444125,1901.1407141216248,58.1933097581266,296.07081198477914,21.884976364236483,20.411170142969464,52.37404892937123,1163.0683469400003,2.6696302172016346,0.0030855950300778152,6812.602210974492,5.052388257843749,551.1831831488302,29.964879666076325
1.25,0.29347,0.005,0.965,0.03,945.4988696878346,20929.251035587393,958133.7206446207,5489.75314553719,1046.531405875974,390.1568404280471,42.93549695815963,1806.5752897033499,47.26665047769794,267.63570558263234,21.420025144176837,15.881963525032312,57.635087219699514,1105.0442148102993,2.4167587988331105,0.0033149462069323042,7148.182008893307,5.575656919806949,585.8415401624379,32.664768508048844
1.1,0.33349,0.005,0.960909091,0.034090909,876.5659243600558,24855.3343897418,954213.3845679611,5389.351103031665,1100.6084473662934,363.310500017339,38.745703612155324,1730.080536589774,41.05508582054794,248.65532859250197,21.373597762910816,13.375063200224828,62.338064329596826,1081.6689522124313,2.2530877750214255,0.003414546943562206,7295.511877483656,5.874833583858414,614.7402063319663,34.81190426035934
1.0,0.36699,0.005,0.9575,0.0375,823.6315937080847,28189.48548171031,950960.9854137773,5281.773051340453,1128.8148040304989,342.8475294129256,35.77771583053816,1669.6995240592423,37.084334198317585,235.12279390628444,21.42546029176473,11.796373304754185,66.24380331983878,1070.1713523508786,2.13892369597726,0.0034649686935933044,7371.2582249169345,6.067011472908818,637.5530555251554,36.48315403666469
0.9,0.40744,0.005,0.953333333,0.041666667,765.6360754847879,32309.13291152214,946985.6635288353,5142.823922513478,1148.9938359866449,320.442404584588,32.7134712416888,1600.7718251800372,33.24682084998767,220.84165965815842,21.524913430314673,10.291591802904119,70.8558271846872,1061.497638268946,2.0200888152389833,0.0035034071290027833,7429.748005432826,6.253234292549156,663.2622900236796,38.35517340381612
0.75,0.48933,0.005,0.945,0.05,670.0969242963054,40623.34822927668,939006.3428666018,4877.860940128381,1160.1713029811294,283.3260808014426,28.00830624473008,1478.5251276545523,27.71255328556071,197.94035234400823,21.708331197892868,8.170349835300557,79.31365952728251,1052.851061882311,1.8308781225430024,0.003541380452687863,7487.274241047198,6.521869789695985,707.312270002472,41.551047753794265
0.65,0.56436,0.005,0.937307692,0.057692308,601.2226410984466,48336.130554337185,931598.1759813377,4664.512694754779,1151.4279135790882,256.24802711786595,24.838189760808156,1381.811497835009,24.14236513577351,181.64223637773358,21.802885494118318,6.8443365209266664,86.16356557572321,1049.3009069378722,1.6951230958746215,0.003556182441786446,7507.174415156583,6.694572321480205,740.3347398836594,43.94281382933611
0.6,0.61116,0.005,0.9325,0.0625,565.3149715111394,53163.64685300962,926948.7855996646,4546.776073104005,1141.021343098616,241.97851229976067,23.250572394914094,1327.961509942552,22.383900138781243,173.1729049768739,21.825339619309073,6.2070626381875575,90.01283162582513,1047.98746206723,1.6234704127026016,0.0035612830114451926,7512.016991890999,6.779310112057171,757.930453314357,45.21598871486651
0.55,0.66697,0.005,0.926818182,0.068181818,528.4340873643528,58871.44380687847,921437.494873039,4421.419991435167,1125.8957810224485,227.18869723499847,21.66314719923232,1269.8978413187376,20.63854115553751,164.48396303587293,21.822492223512757,5.586612878135583,94.17945311964837,1046.8785133486383,1.5487172711694357,0.0035653113449419347,7513.603244580922,6.863163348438967,776.2368635395763,46.53921593318307
0.5,0.73349,0.005,0.92,0.075,490.5612132357456,65721.50552437437,914803.6703195568,4288.059343313042,1105.3890338477681,211.83696972003926,20.07626487670204,1207.1003627474718,18.902520359181256,155.5689234640458,21.787068685775672,4.982731711776792,98.69490571918233,1045.886773186057,1.4702614774253924,0.003568667406174638,7511.988789388834,6.946320427020096,795.2388927787838,47.91061220329207
0.45,0.81519,0.005,0.911666667,0.083333333,451.6509491889045,74092.24238910423,906670.817177596,4146.063324055081,1078.681456751578,195.8624543831625,18.48908477115102,1138.9341461862664,17.17183165157351,146.41825933796733,21.71134328305876,4.3951547289372135,103.59665693602273,1044.9147027368354,1.3873006222386182,0.003571804136702353,7507.1469801627745,7.029025334549047,814.9139848909114,49.327452841486284
0.4,0.91709,0.005,0.90125,0.09375,411.6222627950054,84551.22386250923,896474.089736457,3994.4427568418523,1044.7406919736047,179.17738369709346,16.899120283766248,1064.6139740749772,15.442199261709847,137.0172108493945,21.587347226035416,3.823604040239553,108.92988630997519,1043.851847220376,1.2987375192105528,0.0035752392275040035,7498.9143792506775,7.11161025543785,835.2274425000121,50.78589821008731
0.35,1.0482,0.005,0.887857143,0.107142857,370.3454017082286,97990.2142390015,883325.6297537395,3831.6727602712563,1002.2432184366581,161.65581343047356,15.301513471085537,983.1551611576309,13.709029054898064,127.34209599591368,21.40723716111834,3.2677846297000417,114.74961600992935,1042.5713102460618,1.2030289831989676,0.0035795710278058437,7486.897697001119,7.194559548313801,856.1230719006522,52.280573901381395
0.31,1.18334,0.005,0.874032258,0.120967742,336.29492528334924,111853.39937472608,869718.9673030601,3691.8871675061173,960.9410160794268,146.91705651565826,14.012419669023577,912.0174496855965,12.316613871002582,119.37915491850488,21.21792208239832,2.8342473931198002,119.80028393930431,1041.2914419867916,1.1198459725186116,0.0035841485997806597,7474.049072504221,7.261684063170047,873.1953274931691,53.497387219185704
0.28,1.31012,0.005,0.861071429,0.133928571,310.0649856386967,124842.53327156718,856938.8822971237,3580.346955233332,924.9795968776707,135.3610439499957,13.034934410212657,854.6668757438146,11.267078517570193,113.25711239088253,21.04755402653669,2.515476809795519,123.84458676346972,1040.125468931711,1.0525714384554068,0.003588499437146389,7462.088093551633,7.31287192659402,886.1536053448737,54.41885327539471
0.25,1.46734,0.005,0.845,0.15,283.1529529662818,140940.34040520884,841066.9258593902,3461.936137632947,884.1027861489008,123.29869739252167,12.043878301806123,793.4423662282409,10.21169114332582,106.98520120880357,20.851828346954044,2.2021134292828077,128.1288424220119,1038.7357533147958,0.980102076003447,0.003593856453309403,7447.635408582232,7.365241016076928,899.1796913097271,55.344546159237204
0.23,1.59493,0.005,0.831956522,0.163043478,264.78196089021515,153999.18616189001,828169.4368851183,3378.5088736247953,853.7792545549224,114.93381937653267,11.372946835100283,750.2393964852104,9.504202144993718,102.70709869291741,20.706959398150257,1.9961917661428898,131.12719560273044,1037.6610375237337,0.9283203763693706,0.0035980962015711047,7436.2900958923265,7.401123726005023,907.855932881836,55.9620180503903
0.2,1.83417,0.005,0.8075,0.1875,236.48423937257053,178472.57420230276,803957.0869860838,3245.2990900059776,803.0807175721001,101.82509696665538,10.34575428246093,681.4440329845148,8.436102417886822,96.11569966254953,20.467746381952917,1.6918022704434936,135.84847465575677,1035.7848967522661,0.8443161672056584,0.0036056424454731354,7415.995959318373,7.457146851663753,920.7479302947551,56.88458089145668
0.19,1.93071,0.005,0.797631579,0.197368421,226.83026279385885,188344.082362153,794178.3597748084,3198.40149911117,784.6529820503436,97.2881577338349,9.996402644835927,657.3545055260067,8.078026098462338,93.8642228980838,20.38206381810477,1.5915513842502238,137.4827431042945,1035.07940205041,0.8143476781831236,0.0036085151262985975,7408.162338282715,7.476630936285809,924.9788579229119,57.1899988560398
0.17,2.15785,0.005,0.774411765,0.220588235,207.14705061565056,211564.23511422312,771153.7114467081,3100.214312000192,745.2738958258285,87.93375701196146,9.284577927650426,607.2813647949788,7.358480795533176,89.2638532343191,20.20140072837686,1.3929177803965591,140.83961749794625,1033.5309608822633,0.7509554145909935,0.0036148646925781357,7390.495229958571,7.517314776238641,933.2643211532119,57.79533579724057
0.15,2.44557,0.005,0.745,0.25,186.90478395850212,240964.96969354077,741963.5149057652,2995.2408500470137,702.2472746264942,78.17036538286004,8.55139946247759,554.4865012340296,6.634038534431646,84.50920679093475,20.007231987728936,1.1968864162125055,144.3032715971568,1031.7752190638591,0.682283265604187,0.0036221067269598508,7369.551812950704,7.561154226979994,941.1802400561594,58.38954165064592
0.13,2.75147,0.005,0.706538462,0.288461538,166.01829812097165,279397.30135487043,703759.3570981359,2882.058140008593,655.2147963763477,67.95698664125358,7.790973660529812,498.7103169193278,5.904246507519946,79.56009483590138,19.796471955434136,1.0036974378158094,147.8426581898489,1029.7747238438924,0.6073977010669633,0.003630362602030177,7344.3269414634515,7.609773308569092,948.4738776778341,58.96585632156645
0.11,3.33486,0.005,0.654090909,0.340909091,144.38081366985136,331785.43604130374,651620.3195335752,2758.7472565193075,603.8211115484473,57.26191189589834,6.995425832646137,439.66598778663047,5.168656545714222,74.35668551658034,19.561522272213246,0.813808147202738,151.3858096017401,1027.4755751744622,0.5252415856546581,0.0036397799991516847,7313.322272414922,7.666007045733526,954.7041056762483,59.51306494231815
0.1,3.66835,0.005,0.62,0.375,133.2395112259661,365828.82717431453,617710.5878726769,2692.4965970149474,576.3938464758784,51.73089643801345,6.581273448928308,408.82254322274974,4.798554129181658,71.63214115046644,19.429910391416136,0.7203506290698326,153.11369266053288,1026.1901685229686,0.4810958291315616,0.0036449757376186584,7294.95861744873,7.698490739737222,957.1870945429246,59.77007052664609
